Business Sector,EN,AR,CHN,FR,JP,ESP,TRK,Business Sector New Name,EN_new,AR_new,CHN_new,FR_new,JP_new,ESP_new,TRK_new
Corporate,1900,9817,6909,10528,11156,11276,7117,Corporate,1278,1280,1282,1284,1286,1288,1290
Health,16660,77217,77287,77288,77289,77290,77291,Health,136,805,807,809,811,813,815
Transportation,167,627,1984,2212,11159,11279,2604,Mobility,130,842,844,846,848,850,852
Transportation,164,631,2130,2260,11160,11280,2620,Mobility,130,842,844,846,848,850,852
Passenger Vehicle,169,630,2106,2226,11161,11281,2654,Mobility,130,842,844,846,848,850,852
Commercial Vehicles and Equipment,1057,1078,1994,2223,11162,822,2644,Mobility,130,842,844,846,848,850,852
Logistics,1064,1071,1989,2220,11163,11283,2635,Mobility,130,842,844,846,848,850,852
Expanded Vehicle Services,3296,6129,6977,8575,11164,11284,7148,Mobility,130,842,844,846,848,850,852
Engineering and Manufacturing,176,637,7010,2606,11170,11299,7171,Mobility,130,842,844,846,848,850,852
Financial Services,178,639,7013,2609,11171,11300,7174,Financial Services,132,830,832,834,836,838,840
Land and Real Estate,180,641,7020,8588,11309,11310,7178,Diversified,138,792,794,796,798,800,802
Land and Real Estate,182,647,7023,8593,11176,11311,7181,Diversified,138,792,794,796,798,800,802
Energy and Environmental Services,193,599,7056,8613,11186,11323,7209,Energy and Environmental Services,134,818,820,822,824,826,828
Energy and Environmental Services,195,657,7058,8616,11187,11324,7211,Energy and Environmental Services,134,818,820,822,824,826,828
Solar Power Solutions,198,656,7065,8622,11188,11325,7218,Energy and Environmental Services,134,818,820,822,824,826,828
Wind Power Solutions,200,655,7071,8619,11189,11326,7225,Energy and Environmental Services,134,818,820,822,824,826,828
Water and Environmental Solutions,202,654,7077,8625,11190,11327,7230,Diversified,138,792,794,796,798,800,802
Consumer Products,207,597,7082,8628,11191,11328,7235,Diversified,138,792,794,796,798,800,802
Advertising and Media,209,595,7087,8631,11192,11329,7239,Diversified,138,792,794,796,798,800,802
Community Jameel,473,593,7090,2230,11193,11330,2707,Community Jameel,4742,4745,4747,4749,4751,4753,4755
